id_pncp_item_compra,cod_compra,cod_item_compra,numero_item_pncp,numero_grupo,numero_item_compra,descricao_resumida,material_ou_servico,valor_unitario_estimado,valor_total,quantidade,unidade_medida,orcamento_sigiloso,item_categoria_id_pncp,item_categoria_nome,criterio_julgamento_id_pncp,criterio_julgamento_nome,situacao_compra_item,situacao_compra_item_nome,tipo_beneficio,tipo_beneficio_nome,incentivo_produtivo_basico,data_inclusao_pncp,data_atualizacao_pncp,tem_resultado,ID_contratacao_PNCP,cod_fornecedor,nome_fornecedor,data_resultado,valor_total_resultado,valor_unitario_resultado,quantidade_resultado,id_compra,id_compra_item,ano_compra,sequencial_compra,orgao_entidade_cnpj,unidade_orgao_codigo_unidade,margem_preferencia_normal,margem_preferencia_adicional,numero_controle_PNCP_compra
49219555,10042157,48007991,47,0,47,CONFECÇÃO / INSTALAÇÃO - VIDRO / ESPELHO / MOLDURA,Serviço,1212.0,12120.0,10.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,48396775000154.0,PMFEADM COMERCIO DE PRODUTOS DE ARMARINHO E ACESSORIOS LTDA,2026-04-26,9929.9,992.99,10.0,12006005900112026,1200600590011202600047,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219556,10042157,48007992,48,0,48,CONFECÇÃO DE PLACAS /  QUADROS /  DISTINTIVOS / ARTEFATOS DEACRÍLICO / METAL / LAMINADO / PVC,Serviço,59.4,1188.0,20.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,58600411000106.0,GUERRA COMERCIO E SERVICOS LTDA,2026-04-26,1094.0,54.7,20.0,12006005900112026,1200600590011202600048,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219557,10042157,48007993,49,0,49,CONFECÇÃO PASTA - USO PESSOAL PARA DOCUMENTO / CONGRESSO,Serviço,135.0,810.0,6.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,41977393000175.0,CENTRO SUL GRAFICA & COMUNICACAO VISUAL LTDA,2026-04-26,780.0,130.0,6.0,12006005900112026,1200600590011202600049,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219558,10042157,48007994,50,0,50,CONFECÇÃO MÓVEL / ARTIGO - AÇO,Serviço,20.0,1000.0,50.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,41977393000175.0,CENTRO SUL GRAFICA & COMUNICACAO VISUAL LTDA,2026-04-26,1000.0,20.0,50.0,12006005900112026,1200600590011202600050,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219559,10042157,48007997,53,0,53,CONFECÇÃO SACOLAS,Serviço,4.98,2490.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,64248338000140.0,FAVO - DISTRIBUIDORA E SERVICOS LTDA,2026-04-26,2400.0,4.8,500.0,12006005900112026,1200600590011202600053,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219560,10042157,48008003,59,0,59,CONFECÇÃO SACOLAS,Serviço,3.19,1595.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,,00394429000100-1-000153/2026,,,,,,,12006005900112026,1200600590011202600059,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219561,10042157,48008004,60,0,60,CONFECÇÃO SACOLAS,Serviço,4.67,2335.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,,00394429000100-1-000153/2026,,,,,,,12006005900112026,1200600590011202600060,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219562,10042157,48007995,51,0,51,GRÁFICO - IMPRESSOS / PLASTIFICAÇÃO / ACABAMENTO,Serviço,0.5,250.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,41977393000175.0,CENTRO SUL GRAFICA & COMUNICACAO VISUAL LTDA,2026-04-26,250.0,0.5,500.0,12006005900112026,1200600590011202600051,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219563,10042157,48007996,52,0,52,CONFECÇÃO / INSTALAÇÃO - VIDRO / ESPELHO / MOLDURA,Serviço,420.0,8400.0,20.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,58600411000106.0,GUERRA COMERCIO E SERVICOS LTDA,2026-04-26,8140.0,407.0,20.0,12006005900112026,1200600590011202600052,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
49219564,10042157,48007998,54,0,54,GRÁFICO - IMPRESSOS / PLASTIFICAÇÃO / ACABAMENTO,Serviço,1.72,860.0,500.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,2,Homologado,1,Participação exclusiva para ME/EPP,False,2026-01-30 07:10:41,2026-04-26 18:11:47,True,00394429000100-1-000153/2026,60827030000106.0,60.827.030 JERONIDES LOPES DA SILVA,2026-04-26,845.0,1.69,500.0,12006005900112026,1200600590011202600054,2026,153,394429000100,120060,False,False,00394429000100-1-000153/2026
